ECCode      rmrID bondType  weight 
1.1.1.59    21385 C-O*C=O   1      
1.1.1.6     20891 C-O*C=O   1      
1.1.1.60    21496 C-O*C=O   1      
1.1.1.60    21497 C-O*C=O   1      
1.1.1.61    21414 C-O*C=O   1      
1.1.1.62    22010 C-O*C=O   1      
1.1.1.62    22011 C-O*C=O   1      
1.1.1.62    24038 C-O*C=O   1      
1.1.1.62    24039 C-O*C=O   1      
1.1.1.62    28031 C-O*C=O   1      
1.1.1.62    28065 C-O*C=O   1      
1.1.1.63    21570 C-O*C=O   1      
1.1.1.64    21572 C-O*C=O   1      
1.1.1.65    21466 C-O*C=O   1      
1.1.1.66    23359 C-O*C=O   1      
1.1.1.69    21491 C-O*C=O   1      
1.1.1.69    21493 C-O*C=O   1      
1.1.1.7     23665 C-O*C=O   1      
1.1.1.71    20532 C-O*C=O   1      
1.1.1.71    20534 C-O*C=O   1      
1.1.1.71    20641 C-O*C=O   1      
1.1.1.71    20648 C-O*C=O   1      
1.1.1.72    20892 C-O*C=O   1      
1.1.1.72    20894 C-O*C=O   1      
1.1.1.73    22472 C-O*C=O   1      
1.1.1.75    23247 C-O*C=O   1      
1.1.1.76    23203 C-O*C=O   1      
1.1.1.77    21525 C-O*C=O   1      
1.1.1.77    21927 C-O*C=O   1      
1.1.1.77    21928 C-O*C=O   1      
1.1.1.77    22651 C-O*C=O   1      
1.1.1.78    22162 C-O*C=O   1      
1.1.1.79    20398 C-O*C=O   1      
1.1.1.79    21201 C-O*C=O   1      
1.1.1.79    22162 C-O*C=O   1      
1.1.1.8     20721 C-O*C=O   1      
1.1.1.80    21337 C-O*C=O   1      
1.1.1.81    21199 C-O*C=O   1      
1.1.1.81    21201 C-O*C=O   1      
1.1.1.82    20292 C-O*C=O   1      
1.1.1.83    20182 C-O*C=O   2      
1.1.1.84    21040 C-O*C=O   2      
1.1.1.85    20855 C-O*C=O   2      
1.1.1.85    23826 C-O*C=O   1      
1.1.1.86    22625 C-O*C=O   1      
1.1.1.86    23838 C-O*C=O   1      
1.1.1.86    23839 C-O*C=O   1      
1.1.1.86    24348 C-O*C=O   1      
1.1.1.87    21653 C-O*C=O   2      
1.1.1.87    21654 C-O*C=O   1      
1.1.1.87    24191 C-O*C=O   1      
1.1.1.88    21768 C-O*C=O   1      
1.1.1.90    21285 C-O*C=O   1      
1.1.1.90    21510 C-O*C=O   1      
1.1.1.90    21900 C-O*C=O   1      
1.1.1.90    22239 C-O*C=O   1      
1.1.1.90    23717 C-O*C=O   1      
1.1.1.90    24531 C-O*C=O   1      
1.1.1.90    24591 C-O*C=O   1      
1.1.1.90    24592 C-O*C=O   1      
1.1.1.91    21286 C-O*C=O   1      
1.1.1.92    21499 C-O*C=O   2      
1.1.1.92    21500 C-O*C=O   2      
1.1.1.93    22179 C-O*C=O   1      
1.1.1.93    25383 C-O*C=O   1      
1.1.1.94    20721 C-O*C=O   1      
1.1.1.94    20722 C-O*C=O   1      
1.1.1.95    21307 C-O*C=O   1      
1.1.1.95    27313 C-O*C=O   1      
1.1.1.96    22955 C-O*C=O   1      
1.1.1.97    23575 C-O*C=O   1      
1.1.1.98    22598 C-O*C=O   1      
1.1.1.99    22599 C-O*C=O   1      
1.1.2.-     26135 C-O*C=O   1      
1.1.2.3     20166 C-O*C=O   1      
1.1.2.4     20167 C-O*C=O   1      
1.1.2.7     20981 C-O*C=O   1      
1.1.2.8     24457 C-O*C=O   1      
1.1.2.8     24534 C-O*C=O   1      
1.1.3.-     21673 C%O*C=O   1      
1.1.3.-     21673 O-O*O=O   1      
1.1.3.-     23502 C-O*C=O   1      
1.1.3.-     23502 O-O*O=O   1      
